UTILITY OR SERVICE,0-BR,1-BR,2-BR,3-BR,4-BR,5-BR,6-BR
HEATING - Natural Gas,23,27,33,37,44,54,60
HEATING - Electric - AL Power,34,44,55,65,78,101,112
HEATING - Electric - Dixie,25,32,42,50,57,66,71
HEATING - Electric - Central AL,24,31,40,48,55,74,82
HEATING - Heat Pump - AL Power,20,26,32,38,46,59,67
HEATING - Heat Pump - Dixie,15,19,24,28,33,43,49
HEATING - Heat Pump - Central AL,14,18,23,27,32,42,47
HEATING - Propane,46,55,66,76,89,111,122
AIR CONDITIONING - Alabama Power,21,24,30,39,47,58,71
AIR CONDITIONING - Dixie Elec. Coop.,15,18,22,29,34,43,52
AIR CONDITIONING - Central AL Elec. Coop.,15,17,21,27,33,41,50
COOKING - Natural Gas,10,11,13,14,15,15,16
COOKING - Electric - AL Power,14,15,17,19,20,21,22
COOKING - Electric - Dixie,10,11,13,14,15,15,16
COOKING - Electric - Central AL,10,10,12,13,14,15,16
COOKING - Propane,21,25,26,29,30,31,31
OTHER ELECTRIC - Alabama Power,55,59,65,75,84,93,102
OTHER ELECTRIC - Dixie Elec. Coop.,61,65,69,77,87,94,100
OTHER ELECTRIC - Central AL Elec. Coop.,90,93,97,104,111,117,123
WATER HEATING - Natural Gas,13,17,21,29,37,45,54
WATER HEATING - Electric - AL Power,13,22,30,47,64,81,99
WATER HEATING - Electric - Dixie,10,16,22,34,47,59,70
WATER HEATING - Electric - Central AL,9,15,21,33,45,57,68
WATER HEATING - Propane,26,33,44,56,71,86,103
WATER - Montgomery,45,48,48,68,92,115,139
WATER - Prattville,17,19,23,32,44,56,75
WATER - Millbrook,12,16,18,23,35,46,57
WATER - Wetumpka,20,25,31,38,55,68,85
WATER - Central Elmore,24,24,31,38,52,80,94
SEWER - Montgomery,inc. w/water,inc. w/water,inc. w/water,inc. w/water,inc. w/water,inc. w/water,inc. w/water
SEWER - Prattville,20,24,28,36,44,52,60
SEWER - Millbrook,24,28,32,38,46,52,58
SEWER - Wetumpka,20,22,25,32,47,58,75
TRASH - Montgomery,27,27,27,27,27,27,27
TRASH - Prattville,21,21,21,21,21,21,21
TRASH - Millbrook,22,23,23,23,23,23,23
TRASH - Wetumpka,24,24,24,24,24,24,24
TRASH - Other,24,26,26,26,26,26,26
RANGE,4,4,4,4,4,4,4
REFRIGERATOR,6,6,6,6,6,6,6
BASE CHARGE - Spire,8,8,8,8,8,8,8
